date,open,high,low,last,close,performance
08-10-2018,208,222.25,206.85,216,215.15,1
05-10-2018,217,218.6,205.9,210.25,209.2,1
04-10-2018,223.5,227.8,216.15,217.25,218.2,0
03-10-2018,230,237.5,225.75,226.45,227.6,0
01-10-2018,234.55,234.6,221.05,230.3,230.9,0
28-09-2018,234.05,235.95,230.2,233.5,233.75,1
27-09-2018,234.55,236.8,231.1,233.8,233.25,1
26-09-2018,240,240,232.5,235,234.25,1
25-09-2018,233.3,236.75,232,236.25,236.1,1
24-09-2018,233.55,239.2,230.75,234,233.3,1
21-09-2018,235,237,227.95,233.75,234.6,1
19-09-2018,235.95,237.2,233.45,234.6,234.9,0
18-09-2018,237.9,239.25,233.5,235.5,235.05,1
17-09-2018,233.15,238,230.25,236.4,236.6,1
14-09-2018,223.45,236.7,223.3,234,233.95,1
12-09-2018,216.35,223.7,212.65,221.65,222.65,1
11-09-2018,222.5,225.4,214.85,216.35,216,1
10-09-2018,222.5,235.15,220.65,221.05,222,1
07-09-2018,221,224.5,219.1,223.15,222.95,1
06-09-2018,224,225,218.2,220.95,221.05,1
05-09-2018,222,224.6,215.2,222.1,222.4,1
04-09-2018,238.2,238.2,222.6,223.45,223.7,1
03-09-2018,236,243.55,235.05,236.85,236.7,1
31-08-2018,237,239.75,232.95,234.65,234.3,1
30-08-2018,235.35,237.3,232.1,237.3,236,0
29-08-2018,233.85,237.7,232.7,234.2,234.55,0
28-08-2018,237,239.3,231.3,232.9,233.35,1
27-08-2018,231.8,239.35,231.05,236.8,237.05,0
24-08-2018,234.5,237.2,230.2,231.5,231,0
23-08-2018,240.3,240.6,233.1,235.5,235.45,0
21-08-2018,246.9,246.9,239.25,240.9,240.55,1
20-08-2018,244,247,243,244.7,245.15,0
17-08-2018,240.8,244.5,239.2,242.7,243,1
16-08-2018,236.05,242,235.95,240.35,239.35,1
14-08-2018,235,238.5,235,237.4,237.55,0
13-08-2018,233,236.45,232.25,235.2,234.55,0
10-08-2018,237.3,237.95,231.1,233.65,233.55,1
09-08-2018,236.65,239.85,235.3,237.25,237.3,0
08-08-2018,237.25,240.5,235.05,236.35,236.35,0
07-08-2018,241,241.55,235.3,237.5,237.6,0
06-08-2018,235.15,240.45,234.15,240,239.5,1
03-08-2018,236,239,232,235.2,234.65,1
02-08-2018,232.5,238.05,230.4,235,235.45,1
01-08-2018,248.7,254.95,234.35,235.1,235.65,1
31-07-2018,243.4,249.65,241.5,247.1,246.9,1
30-07-2018,243.7,247,240.9,243.65,242.2,0
27-07-2018,241,243.95,239.15,242.5,242.25,0
26-07-2018,235.9,242.95,234.5,239.5,239.1,1
25-07-2018,248.5,248.5,235.8,236.05,236.9,1
